index,unit,time,os1,os2,os3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,rul,RealRUL,Objective,PredRUL,RMSE_adversarial,RMSE_pred,L0
10062.0,77.0,143.0,0.0049781157,-0.00029889276,100.0,518.67,642.5096,1591.4191,1406.565,14.62,21.609934,552.4447,2388.0962,9038.653,1.3,47.538704,521.2417,2388.07,8122.679,8.480089,0.03,392.7659,2388.0,100.0,38.75561,23.194193,53.0,,,,,,
10063.0,77.0,144.0,0.0016046455,-0.00019877494,100.0,518.67,643.02716,1581.4335,1409.214,14.62,21.609913,553.26624,2388.0894,9043.941,1.3,47.440876,521.40753,2388.1648,8122.083,8.452215,0.03,392.65414,2388.0,100.0,38.895035,23.240158,52.0,,,,,,
10064.0,77.0,145.0,0.0009274194,0.0003055001,100.0,518.67,643.4488,1597.5062,1412.9059,14.62,21.609966,552.8063,2388.1445,9051.698,1.3,47.671467,521.36646,2388.09,8129.5674,8.4404125,0.03,392.72195,2388.0,100.0,38.752354,23.254871,51.0,,,,,,
10065.0,77.0,146.0,0.0008065766,-0.00049906183,100.0,518.67,642.41724,1584.0027,1409.5415,14.62,21.609966,553.1433,2388.1194,9037.262,1.3,47.627968,521.2012,2388.1316,8118.084,8.447114,0.03,392.57785,2388.0,100.0,38.982838,23.282438,50.0,,,,,,
10066.0,77.0,147.0,-0.0052810526,-0.00049877784,100.0,518.67,642.828,1595.8976,1404.7875,14.62,21.609974,553.1238,2388.1216,9052.145,1.3,47.62018,520.9568,2388.1045,8136.7456,8.463908,0.03,393.7238,2388.0,100.0,38.862938,23.32382,49.0,,,,,,
10067.0,77.0,148.0,0.0007222034,-0.00049944,100.0,518.67,643.18805,1590.3834,1414.6305,14.62,21.609972,553.2578,2388.135,9049.091,1.3,47.526463,520.9755,2388.1587,8129.2666,8.438032,0.03,392.83102,2388.0,100.0,38.649036,23.176977,48.0,,,,,,
10068.0,77.0,149.0,-0.0005897628,-0.00019976698,100.0,518.67,642.7275,1590.1005,1406.2173,14.62,21.609972,552.8991,2388.152,9049.107,1.3,47.448036,521.3608,2388.1333,8133.0513,8.439352,0.03,395.8894,2388.0,100.0,38.76864,23.267025,47.0,,,,,,
10069.0,77.0,150.0,-0.0002897568,1.9196887e-07,100.0,518.67,642.6741,1592.0986,1411.1586,14.62,21.60997,552.831,2388.1672,9052.957,1.3,47.71619,521.10034,2388.1794,8133.8633,8.468195,0.03,393.9405,2388.0,100.0,38.633373,23.292576,46.0,,,,,,
10070.0,77.0,151.0,0.0007133614,-0.0004991667,100.0,518.67,643.38794,1591.79,1418.2781,14.62,21.60998,552.7929,2388.128,9055.392,1.3,47.66601,520.81476,2388.1296,8124.781,8.443192,0.03,392.9778,2388.0,100.0,38.69945,23.33135,45.0,,,,,,
10071.0,77.0,152.0,0.001705314,7.217168e-07,100.0,518.67,642.9617,1587.2798,1411.9136,14.62,21.60998,553.1102,2388.1794,9046.896,1.3,47.690453,521.4192,2388.1084,8130.037,8.465374,0.03,394.0007,2388.0,100.0,38.756207,23.07743,44.0,,,,,,
10072.0,77.0,153.0,0.0012949128,0.00040147337,100.0,518.67,642.7931,1590.2341,1411.6733,14.62,21.60999,553.8163,2388.1736,9053.984,1.3,47.73995,520.80597,2388.1543,8132.416,8.462407,0.03,393.00476,2388.0,100.0,38.77168,23.284319,43.0,,,,,,
10073.0,77.0,154.0,8.880533e-05,-0.000296713,100.0,518.67,642.85535,1592.2747,1416.1111,14.62,21.609999,552.6291,2388.1367,9052.363,1.3,47.655224,521.06866,2388.1538,8124.7485,8.448079,0.03,393.0127,2388.0,100.0,38.685455,23.279613,42.0,,,,,,
