index,unit,time,os1,os2,os3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,rul,RealRUL,Objective,PredRUL,RMSE_adversarial,RMSE_pred,L0
12207.0,93.0,225.0,0.00074399915,-0.00057200005,100.0,518.67,642.9408,1599.5923,1420.9344,14.62,21.6094,553.5126,2388.0703,9086.262,1.3,47.529198,521.0014,2388.079,8152.8066,8.501393,0.03,392.28,2388.0,100.0,38.7926,23.274351,104.0,,,,,,
12208.0,93.0,226.0,0.002444,0.000328,100.0,518.67,642.93085,1586.7079,1419.3044,14.62,21.6094,552.93256,2388.0803,9090.192,1.3,47.5592,520.6714,2388.089,8158.127,8.486906,0.03,394.28,2388.0,100.0,38.592598,23.285551,103.0,,,,,,
12209.0,93.0,227.0,-0.004756,-7.2000024e-05,100.0,518.67,642.80084,1600.6478,1423.0745,14.62,21.6094,553.4526,2388.1204,9090.372,1.3,47.599197,520.9114,2388.079,8159.6865,8.457306,0.03,395.28,2388.0,100.0,38.707397,23.33455,102.0,,,,,,
12210.0,93.0,228.0,-0.0048559997,0.000428,100.0,518.67,642.5708,1596.1779,1417.5944,14.62,21.6094,552.92255,2388.0703,9090.892,1.3,47.849197,521.09143,2388.089,8164.647,8.441106,0.03,394.28,2388.0,100.0,38.6026,23.277151,101.0,,,,,,
12211.0,93.0,229.0,0.0030440008,0.00022799999,100.0,518.67,643.0092,1586.8079,1418.5745,14.62,21.6094,552.7026,2388.0803,9088.192,1.3,47.4492,520.7414,2388.069,8163.6567,8.439394,0.03,393.28,2388.0,100.0,38.412598,23.266352,100.0,,,,,,
12212.0,93.0,230.0,-0.00075600017,-0.00017200003,100.0,518.67,643.72925,1587.2878,1416.0444,14.62,21.6094,552.61255,2388.0703,9086.3125,1.3,47.649197,521.0014,2388.089,8154.1367,8.483994,0.03,393.28,2388.0,100.0,39.047398,23.356651,99.0,,,,,,
12213.0,93.0,231.0,-0.0009559998,-7.2000024e-05,100.0,518.67,643.0792,1587.7278,1420.9044,14.62,21.6094,552.56256,2388.1504,9082.442,1.3,47.6392,521.3714,2388.079,8165.427,8.481394,0.03,393.28,2388.0,100.0,38.5174,23.231852,98.0,,,,,,
12214.0,93.0,232.0,0.0005440004,-0.00037200004,100.0,518.67,643.3592,1585.9579,1415.1844,14.62,21.6094,553.6426,2388.0603,9091.103,1.3,47.739197,520.9114,2388.079,8156.877,8.448793,0.03,394.72,2388.0,100.0,38.7674,23.120447,97.0,,,,,,
12215.0,93.0,233.0,0.003944,2.799998e-05,100.0,518.67,643.4592,1593.7678,1422.6444,14.62,21.6094,553.19257,2388.0803,9087.902,1.3,47.849197,521.0714,2388.1292,8158.647,8.494794,0.03,394.72,2388.0,100.0,38.8774,23.27695,96.0,,,,,,
12216.0,93.0,234.0,0.0026440006,0.000428,100.0,518.67,642.78925,1595.7079,1427.4844,14.62,21.6094,552.61255,2388.0803,9095.432,1.3,47.7892,520.4914,2388.1091,8163.1367,8.452394,0.03,394.72,2388.0,100.0,38.957397,23.171648,95.0,,,,,,
12217.0,93.0,235.0,0.0005440004,-0.00037200004,100.0,518.67,642.9892,1595.5579,1423.2844,14.62,21.6094,552.36255,2388.1003,9092.452,1.3,47.6792,520.9114,2388.089,8166.9565,8.507994,0.03,394.72,2388.0,100.0,38.8674,23.228848,94.0,,,,,,
12218.0,93.0,236.0,-0.00015600026,0.000328,100.0,518.67,643.41925,1589.9978,1420.3844,14.62,21.6094,553.0926,2388.1003,9090.642,1.3,47.800797,520.6314,2388.069,8161.3867,8.5197935,0.03,394.72,2388.0,100.0,38.8474,23.148348,93.0,,,,,,
12219.0,93.0,237.0,0.004044,-7.2000024e-05,100.0,518.67,643.1292,1590.2878,1422.4844,14.62,21.6094,552.9526,2388.1794,9089.672,1.3,47.890797,521.0814,2388.2307,8163.447,8.475694,0.03,393.72,2388.0,100.0,38.6474,23.145447,92.0,,,,,,
12220.0,93.0,238.0,-0.000856,-0.00022800002,100.0,518.67,643.08923,1589.2878,1420.6844,14.62,21.6094,552.1374,2388.1895,9085.152,1.3,47.950798,520.4386,2388.2407,8164.6167,8.467194,0.03,393.72,2388.0,100.0,38.8974,23.178347,91.0,,,,,,
12221.0,93.0,239.0,-0.0005440004,-2.8000039e-05,100.0,518.67,643.22925,1591.1779,1420.7744,14.62,21.6094,551.9974,2388.1694,9088.952,1.3,48.0108,520.6286,2388.2207,8168.607,8.455994,0.03,396.72,2388.0,100.0,38.572598,23.149748,90.0,,,,,,
12222.0,93.0,240.0,-0.00044399966,-0.000328,100.0,518.67,644.1092,1589.0779,1413.9355,14.62,21.6094,551.6274,2388.1096,9098.252,1.3,47.8808,520.6486,2388.2107,8165.737,8.4874935,0.03,395.72,2388.0,100.0,38.7774,23.166447,89.0,,,,,,
12223.0,93.0,241.0,-0.0034440001,-2.8000039e-05,100.0,518.67,642.7392,1596.8022,1418.5844,14.62,21.61,551.5174,2388.2395,9088.642,1.3,47.860798,520.6486,2388.1606,8165.6167,8.500994,0.03,395.72,2388.0,100.0,38.7126,23.182447,88.0,,,,,,
12224.0,93.0,242.0,-0.0012440002,0.00047199999,100.0,518.67,643.2592,1595.2622,1421.8744,14.62,21.61,552.4974,2388.1494,9094.8125,1.3,47.8508,520.4886,2388.2107,8143.833,8.530893,0.03,394.72,2388.0,100.0,38.502598,23.076847,87.0,,,,,,
12225.0,93.0,243.0,-5.5999495e-05,-0.00022800002,100.0,518.67,642.9992,1599.1422,1424.9543,14.62,21.61,551.66736,2388.1794,9091.362,1.3,47.8108,520.0886,2388.1606,8139.893,8.506494,0.03,394.72,2388.0,100.0,38.5226,23.211847,86.0,,,,,,
12226.0,93.0,244.0,-0.000856,-0.00022800002,100.0,518.67,643.21924,1601.5923,1419.7444,14.62,21.61,552.48737,2388.1895,9088.192,1.3,47.770798,520.3786,2388.1807,8167.257,8.498194,0.03,392.72,2388.0,100.0,38.6226,23.150948,85.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,0.0,11.626093864440918,0.05449770763516426,73.37390899658203,tensor(24.)
