index,unit,time,os1,os2,os3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,rul,RealRUL,Objective,PredRUL,RMSE_adversarial,RMSE_pred,L0
8766.0,67.0,52.0,0.0034608021,-9.120017e-05,100.0,518.67,642.8679,1599.1953,1401.0227,14.62,21.61,553.8809,2388.0256,9098.968,1.3,47.36736,521.5312,2388.0498,8170.735,8.430613,0.03,391.192,2388.0,100.0,38.79068,23.309332,96.0,,,,,,
8767.0,67.0,53.0,-0.0033392003,-3.4398807e-05,100.0,518.67,643.46124,1595.7919,1408.0115,14.62,21.6018,553.1909,2388.1223,9095.258,1.3,47.50208,521.49835,2388.0679,8173.505,8.440344,0.03,393.872,2388.0,100.0,38.798763,23.240429,95.0,,,,,,
8768.0,67.0,54.0,-0.0053704036,-0.000115200266,100.0,518.67,642.7412,1598.0219,1410.6184,14.62,21.61,553.7303,2388.1655,9097.098,1.3,47.6488,520.7596,2388.136,8149.7124,8.437384,0.03,393.488,2388.0,100.0,39.035202,23.215528,94.0,,,,,,
8769.0,67.0,55.0,-0.0030607996,8.002506e-06,100.0,518.67,642.8684,1584.0505,1407.2009,14.62,21.61,553.32837,2388.1155,9094.028,1.3,47.6688,520.80963,2388.1787,8150.8823,8.496083,0.03,391.2,2388.0,100.0,38.73744,23.24643,93.0,,,,,,
8770.0,67.0,56.0,0.00082239043,-0.00030640044,100.0,518.67,642.53564,1583.4462,1410.4019,14.62,21.61,552.58636,2388.1055,9092.295,1.3,47.568798,520.7896,2388.1086,8147.761,8.443084,0.03,394.2,2388.0,100.0,39.01324,23.163128,92.0,,,,,,
8771.0,67.0,57.0,0.0012575854,-0.00013999906,100.0,518.67,642.3861,1587.5374,1402.6962,14.62,21.61,552.2864,2388.1523,9085.925,1.3,47.7388,520.5896,2388.1243,8154.947,8.445583,0.03,394.008,2388.0,100.0,38.99484,23.185831,91.0,,,,,,
8772.0,67.0,58.0,0.0014143847,-0.0004400005,100.0,518.67,642.1497,1571.04,1415.1887,14.62,21.61,553.1764,2388.1665,9090.726,1.3,47.6988,520.9296,2388.126,8160.503,8.481983,0.03,392.624,2388.0,100.0,38.83096,23.24496,90.0,,,,,,
8773.0,67.0,59.0,0.0020231763,-0.00035840034,100.0,518.67,642.6605,1580.4795,1413.3718,14.62,21.61,553.2364,2388.1543,9092.137,1.3,47.6488,521.1396,2388.087,8156.6177,8.467983,0.03,392.96,2388.0,100.0,38.89192,23.12566,89.0,,,,,,
8774.0,67.0,60.0,0.0045799557,-0.0005728,100.0,518.67,642.03394,1585.2325,1415.1166,14.62,21.61,552.6664,2388.1528,9104.318,1.3,47.7188,521.38086,2388.136,8167.053,8.451761,0.03,394.488,2388.0,100.0,38.941917,23.229462,88.0,,,,,,
8775.0,67.0,61.0,0.005079956,-0.00039600022,100.0,518.67,642.4638,1583.547,1411.1458,14.62,21.61,552.7564,2388.1528,9107.713,1.3,47.70224,521.27203,2388.176,8161.0938,8.495879,0.03,394.44,2388.0,100.0,39.0058,23.242962,87.0,,,,,,
