index,unit,time,os1,os2,os3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,rul,RealRUL,Objective,PredRUL,RMSE_adversarial,RMSE_pred,L0
11813.0,91.0,215.0,-0.0012945742,0.00049265183,100.0,518.67,642.66504,1596.8983,1407.8068,14.62,21.609951,552.54156,2388.2388,9062.478,1.3,48.123173,520.7157,2388.26,8134.204,8.456964,0.03,395.5116,2388.0,100.0,38.669525,23.174242,57.0,,,,,,
11814.0,91.0,216.0,-0.0021710214,0.00020336948,100.0,518.67,642.9823,1597.7458,1418.3998,14.62,21.60993,552.01184,2388.2637,9051.013,1.3,48.059074,520.4365,2388.204,8126.8813,8.475954,0.03,395.2271,2388.0,100.0,38.68403,23.06967,56.0,,,,,,
11815.0,91.0,217.0,-0.0010553245,0.000109096465,100.0,518.67,643.2752,1597.9412,1411.6718,14.62,21.61,552.6778,2388.245,9066.893,1.3,47.850006,520.2884,2388.1975,8127.803,8.465141,0.03,394.0329,2388.0,100.0,38.603992,23.064192,55.0,,,,,,
11816.0,91.0,218.0,0.0021665487,8.4327185e-06,100.0,518.67,643.3338,1595.3378,1420.2424,14.62,21.61,551.8605,2388.2144,9062.88,1.3,47.767506,520.47235,2388.1794,8129.883,8.469543,0.03,394.04877,2388.0,100.0,38.58865,23.284903,54.0,,,,,,
11817.0,91.0,219.0,0.0028220061,-0.00029118534,100.0,518.67,643.3211,1595.8795,1421.8102,14.62,21.61,552.3001,2388.1821,9061.485,1.3,47.831257,519.8928,2388.2092,8133.2456,8.47073,0.03,393.03128,2388.0,100.0,38.538116,23.200703,53.0,,,,,,
11818.0,91.0,220.0,-0.0014728396,1.1589553e-05,100.0,518.67,643.01294,1599.5114,1419.5029,14.62,21.61,552.1385,2388.2622,9063.203,1.3,47.797516,520.3266,2388.2444,8133.7266,8.4880085,0.03,395.9926,2388.0,100.0,38.641533,23.098057,52.0,,,,,,
11819.0,91.0,221.0,0.0020627873,-0.0004889202,100.0,518.67,643.8287,1600.694,1417.3994,14.62,21.61,552.5964,2388.2017,9067.306,1.3,47.890545,520.26404,2388.2036,8140.052,8.527317,0.03,395.02185,2388.0,100.0,38.494225,23.104692,51.0,,,,,,
11820.0,91.0,222.0,-0.0004682988,-0.00018686656,100.0,518.67,643.45465,1593.7319,1419.7609,14.62,21.61,551.9608,2388.2744,9075.638,1.3,47.715664,520.1311,2388.1912,8133.8213,8.473623,0.03,394.06036,2388.0,100.0,38.660686,23.15026,50.0,,,,,,
11821.0,91.0,223.0,0.0005157143,1.619896e-05,100.0,518.67,643.6146,1596.5566,1415.7157,14.62,21.61,552.50635,2388.1858,9076.17,1.3,47.899094,520.13666,2388.2544,8141.74,8.542551,0.03,396.0358,2388.0,100.0,38.69537,23.1238,49.0,,,,,,
11822.0,91.0,224.0,-0.0011060773,1.8939492e-05,100.0,518.67,642.57477,1601.1561,1425.2103,14.62,21.61,552.5292,2388.3035,9082.797,1.3,47.88317,520.0996,2388.2837,8143.102,8.469809,0.03,395.0484,2388.0,100.0,38.475433,23.16016,48.0,,,,,,
11823.0,91.0,225.0,-0.0014540832,-0.00027883446,100.0,518.67,643.30597,1594.0698,1421.7461,14.62,21.61,552.46014,2388.196,9096.898,1.3,47.831722,520.0404,2388.2673,8146.621,8.453854,0.03,395.078,2388.0,100.0,38.57239,23.133486,47.0,,,,,,
11824.0,91.0,226.0,0.00019943248,0.00012792216,100.0,518.67,643.07837,1601.1556,1424.2607,14.62,21.61,551.9573,2388.2422,9101.781,1.3,47.849117,519.6396,2388.2603,8146.523,8.520802,0.03,394.102,2388.0,100.0,38.443157,23.166529,46.0,,,,,,
11825.0,91.0,227.0,0.0021667788,0.00012951344,100.0,518.67,643.4422,1592.7913,1420.16,14.62,21.61,552.66046,2388.2043,9123.131,1.3,47.931244,520.06195,2388.2202,8160.0776,8.539959,0.03,395.0764,2388.0,100.0,38.590958,23.1572,45.0,,,,,,
11826.0,91.0,228.0,0.005235607,-6.55654e-05,100.0,518.67,643.12866,1595.4779,1426.2178,14.62,21.61,553.0496,2388.2358,9125.709,1.3,47.89302,519.6651,2388.18,8174.7153,8.493756,0.03,395.15353,2388.0,100.0,38.580402,23.114767,44.0,,,,,,
11827.0,91.0,229.0,0.00034429878,-0.00045892457,100.0,518.67,643.469,1590.9963,1420.5327,14.62,21.61,552.49817,2388.1694,9132.5205,1.3,47.983864,519.93756,2388.2258,8181.9526,8.513486,0.03,395.3514,2388.0,100.0,38.62687,23.163073,43.0,,,,,,
11828.0,91.0,230.0,-0.002841168,-0.0002490245,100.0,518.67,643.06696,1598.8788,1412.4227,14.62,21.61,552.60675,2388.2407,9150.139,1.3,48.094395,519.90515,2388.1694,8188.9014,8.515039,0.03,394.49008,2388.0,100.0,38.787785,23.140123,42.0,,,,,,
11829.0,91.0,231.0,0.0016955845,-0.00013480766,100.0,518.67,642.91235,1592.6346,1409.147,14.62,21.61,552.5496,2388.2708,9150.194,1.3,48.026268,519.88525,2388.2378,8186.552,8.508166,0.03,394.743,2388.0,100.0,38.608864,23.038336,41.0,,,,,,
11830.0,91.0,232.0,0.0009852098,6.789417e-05,100.0,518.67,643.35614,1593.2019,1408.5607,14.62,21.61,553.2568,2388.2507,9159.333,1.3,48.112938,519.8058,2388.2385,8187.3633,8.467147,0.03,395.00952,2388.0,100.0,38.690468,23.18436,40.0,,,,,,
11831.0,91.0,233.0,-0.0003080666,-0.00020679482,100.0,518.67,642.67773,1590.493,1413.6893,14.62,21.61,553.1514,2388.4214,9133.828,1.3,48.226887,519.5919,2388.3408,8156.3086,8.504832,0.03,396.09076,2388.0,100.0,38.89408,23.192965,39.0,,,,,,
11832.0,91.0,234.0,-0.0016906285,0.0004297602,100.0,518.67,641.76465,1590.6072,1398.0776,14.62,21.61,549.85,2388.5598,9233.438,1.3,48.53,518.69,2388.5146,8237.841,8.5848,0.03,392.35184,2388.0,100.0,39.164314,23.343817,38.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,0.0,8.200321197509766,0.10950735211372375,29.799678802490234,tensor(22.)
