index,unit,time,os1,os2,os3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,rul,RealRUL,Objective,PredRUL,RMSE_adversarial,RMSE_pred,L0
60.0,2.0,30.0,0.001497753,0.00040018721,100.0,518.67,642.7317,1583.8766,1409.718,14.62,21.61,553.56866,2388.1208,9043.587,1.3,47.48902,521.758,2388.1113,8132.7036,8.462877,0.03,393.02173,2388.0,100.0,38.929405,23.307364,117.0,,,,,,
61.0,2.0,31.0,0.00029947888,0.00020023226,100.0,518.67,642.76215,1591.4094,1402.3678,14.62,21.61,553.4496,2388.111,9044.81,1.3,47.527588,521.4296,2388.1313,8129.244,8.431521,0.03,394.02112,2388.0,100.0,38.739014,23.307182,116.0,,,,,,
62.0,2.0,32.0,0.0031987485,0.00020016282,100.0,518.67,642.78723,1594.3818,1417.0602,14.62,21.609999,553.76373,2388.1611,9054.8,1.3,47.51229,521.4801,2388.1113,8129.655,8.406768,0.03,394.01648,2388.0,100.0,38.739098,23.312185,115.0,,,,,,
63.0,2.0,33.0,-0.0006029755,-0.00029988337,100.0,518.67,642.54083,1592.6394,1405.2382,14.62,21.61,553.8346,2388.091,9046.636,1.3,47.49355,521.4023,2388.0613,8126.2183,8.416962,0.03,395.01233,2388.0,100.0,39.018833,23.305216,114.0,,,,,,
64.0,2.0,34.0,-0.0033064066,0.00010013115,100.0,518.67,642.44116,1582.3118,1409.3385,14.62,21.61,554.00616,2388.1313,9045.655,1.3,47.545143,521.8551,2388.0916,8125.7446,8.448255,0.03,392.01047,2388.0,100.0,38.96859,23.250937,113.0,,,,,,
65.0,2.0,35.0,-0.0033125295,-9.9809666e-05,100.0,518.67,642.9015,1597.4666,1402.1963,14.62,21.61,553.62305,2388.0925,9046.322,1.3,47.42772,521.9634,2388.142,8123.3965,8.459963,0.03,393.00986,2388.0,100.0,38.86838,23.304537,112.0,,,,,,
66.0,2.0,36.0,-0.0017199558,0.000100272824,100.0,518.67,642.2447,1585.0701,1408.0895,14.62,21.61,553.1923,2388.1243,9049.053,1.3,47.49037,521.4211,2388.123,8130.9404,8.421944,0.03,393.0119,2388.0,100.0,38.83773,23.22094,111.0,,,,,,
67.0,2.0,37.0,0.00037055276,-9.9548895e-05,100.0,518.67,643.22345,1582.1991,1405.1881,14.62,21.61,553.56366,2388.117,9045.888,1.3,47.20473,521.68463,2388.1648,8134.3364,8.419139,0.03,393.01877,2388.0,100.0,39.016308,23.282797,110.0,,,,,,
68.0,2.0,38.0,-0.0029450594,-9.9143945e-05,100.0,518.67,642.6556,1588.9161,1402.33,14.62,21.61,553.21924,2388.1096,9046.078,1.3,47.520645,521.2707,2388.1272,8125.5464,8.456093,0.03,393.0278,2388.0,100.0,38.80453,23.356514,109.0,,,,,,
69.0,2.0,39.0,0.00014110096,0.0004011629,100.0,518.67,643.0264,1592.1797,1406.1259,14.62,21.61,553.39703,2388.1116,9044.86,1.3,47.606903,521.64075,2388.1394,8126.171,8.43892,0.03,394.0373,2388.0,100.0,38.662502,23.297619,108.0,,,,,,
70.0,2.0,40.0,0.0022318326,0.00030128338,100.0,518.67,642.70844,1590.9868,1408.6837,14.62,21.61,553.55914,2388.1758,9046.625,1.3,47.505146,521.76245,2388.1313,8125.8706,8.42245,0.03,393.04648,2388.0,100.0,38.72926,23.35746,107.0,,,,,,
71.0,2.0,41.0,-0.00018030219,-0.00019887998,100.0,518.67,642.8502,1596.6713,1406.788,14.62,21.61,553.3008,2388.0996,9040.019,1.3,47.481945,521.29706,2388.113,8125.4185,8.428678,0.03,393.04486,2388.0,100.0,38.805668,23.327421,106.0,,,,,,
72.0,2.0,42.0,-0.003989769,-0.00019936298,100.0,518.67,642.8171,1587.2058,1410.2181,14.62,21.61,553.74585,2388.113,9044.606,1.3,47.49852,521.3115,2388.1543,8127.6763,8.483208,0.03,393.04205,2388.0,100.0,38.86243,23.204676,105.0,,,,,,
73.0,2.0,43.0,0.0012734998,0.00010027713,100.0,518.67,642.89764,1589.2546,1406.2344,14.62,21.61,552.8226,2388.1375,9050.802,1.3,47.606155,521.0827,2388.167,8127.9365,8.497655,0.03,392.0295,2388.0,100.0,38.70765,23.26183,104.0,,,,,,
74.0,2.0,44.0,-0.0025021224,0.00029956433,100.0,518.67,642.85754,1592.769,1412.4557,14.62,21.61,553.3892,2388.1558,9048.842,1.3,47.72251,520.67065,2388.1526,8134.339,8.442708,0.03,392.00195,2388.0,100.0,38.75953,23.33405,103.0,,,,,,
75.0,2.0,45.0,-0.003320991,3.0675437e-07,100.0,518.67,642.5687,1591.5602,1407.7258,14.62,21.61,553.5432,2388.144,9043.244,1.3,47.59381,521.27826,2388.1343,8130.0796,8.45453,0.03,391.90213,2388.0,100.0,38.90597,23.266117,102.0,,,,,,
76.0,2.0,46.0,0.0019420441,-0.00020499495,100.0,518.67,642.86194,1589.996,1402.1234,14.62,21.61,553.4817,2388.1846,9037.763,1.3,47.510445,520.6347,2388.142,8129.8477,8.45243,0.03,393.7073,2388.0,100.0,38.81459,23.211039,101.0,,,,,,
77.0,2.0,47.0,-0.0036462173,-0.00041842472,100.0,518.67,642.90405,1590.1349,1404.5637,14.62,21.61,553.372,2388.2026,9026.396,1.3,47.647503,521.5712,2388.1829,8122.743,8.4329195,0.03,391.65024,2388.0,100.0,38.7499,23.259129,100.0,,,,,,
78.0,2.0,48.0,0.0027921516,-0.00011651867,100.0,518.67,642.9961,1597.4305,1423.0833,14.62,21.609554,550.54553,2388.4321,9082.042,1.3,47.953205,519.92535,2388.211,8155.919,8.457038,0.03,394.17242,2388.0,100.0,38.755764,23.205101,99.0,,,,,,
79.0,2.0,49.0,0.003959529,-0.0006,100.0,518.67,642.2318,1594.3817,1392.3743,14.62,21.604862,549.85,2388.2842,9097.886,1.3,47.404644,518.69,2387.88,8233.298,8.471479,0.03,388.0,2388.0,100.0,38.14,22.8942,98.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,0.0,13.186423301696777,0.10117008537054062,84.8135757446289,tensor(24.)
