index,unit,time,os1,os2,os3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,rul,RealRUL,Objective,PredRUL,RMSE_adversarial,RMSE_pred,L0
8477.0,64.0,149.0,-0.00116,0.00032000005,100.0,518.67,642.67804,1584.3931,1406.196,14.62,21.61,553.151,2388.044,9034.194,1.3,47.421997,521.289,2388.1118,8120.002,8.46631,0.03,392.8,2388.0,100.0,38.919,23.34922,47.0,,,,,,
8478.0,64.0,150.0,-0.00354,-0.00018,100.0,518.67,643.10803,1590.333,1401.366,14.62,21.61,553.131,2388.064,9037.874,1.3,47.621998,521.339,2388.052,8114.5117,8.46091,0.03,392.8,2388.0,100.0,38.909,23.26772,46.0,,,,,,
8479.0,64.0,151.0,-0.0012399997,-0.00038,100.0,518.67,642.448,1591.203,1405.916,14.62,21.609001,553.941,2388.124,9033.435,1.3,47.482,521.529,2388.0718,8120.0117,8.412109,0.03,391.8,2388.0,100.0,38.929,23.213379,45.0,,,,,,
8480.0,64.0,152.0,0.00474,0.00021999999,100.0,518.67,642.35803,1583.383,1401.126,14.62,21.609001,553.35095,2388.1638,9039.564,1.3,47.562,521.729,2388.1218,8113.732,8.416909,0.03,396.2,2388.0,100.0,38.869,23.32642,44.0,,,,,,
8481.0,64.0,153.0,0.0015399996,-8.000003e-05,100.0,518.67,643.21204,1591.0231,1405.876,14.62,21.609001,553.531,2388.034,9038.864,1.3,47.342,520.799,2388.1018,8118.2817,8.431809,0.03,394.2,2388.0,100.0,38.878998,23.10828,43.0,,,,,,
8482.0,64.0,154.0,0.005040001,0.00012000004,100.0,518.67,643.742,1585.113,1416.074,14.62,21.609001,553.23096,2388.084,9032.614,1.3,47.491997,521.56903,2388.1218,8112.902,8.46589,0.03,394.2,2388.0,100.0,38.799,23.13918,42.0,,,,,,
8483.0,64.0,155.0,0.0012400001,1.9999978e-05,100.0,518.67,643.422,1588.853,1424.394,14.62,21.609001,554.191,2388.064,9032.664,1.3,47.727997,520.571,2388.1018,8114.272,8.45969,0.03,394.2,2388.0,100.0,38.859,23.19908,41.0,,,,,,
8484.0,64.0,156.0,-0.0032600001,0.00012000004,100.0,518.67,643.28204,1588.4971,1425.044,14.62,21.609001,552.789,2388.054,9082.446,1.3,47.738,520.221,2388.188,8153.888,8.50229,0.03,394.2,2388.0,100.0,38.899,23.15168,40.0,,,,,,
8485.0,64.0,157.0,0.0009399997,1.9999978e-05,100.0,518.67,643.072,1595.037,1423.404,14.62,21.609001,551.849,2388.114,9084.456,1.3,47.977997,519.961,2388.2078,8151.068,8.489389,0.03,395.2,2388.0,100.0,38.709,23.10198,39.0,,,,,,
8486.0,64.0,158.0,0.0030399999,-0.00018,100.0,518.67,642.932,1605.1471,1424.634,14.62,21.609001,552.16895,2388.2058,9082.557,1.3,47.857998,520.091,2388.2378,8148.118,8.479489,0.03,395.2,2388.0,100.0,38.611,23.10718,38.0,,,,,,
8487.0,64.0,159.0,0.0009399997,1.9999978e-05,100.0,518.67,643.27203,1604.8871,1417.534,14.62,21.609001,552.12897,2388.2058,9079.566,1.3,48.098,520.441,2388.2378,8149.628,8.532189,0.03,395.2,2388.0,100.0,38.521,23.199879,37.0,,,,,,
8488.0,64.0,160.0,-0.0005400004,-0.00018,100.0,518.67,643.762,1599.157,1424.084,14.62,21.609001,552.009,2388.1958,9081.967,1.3,48.008,521.031,2388.2578,8155.328,8.49409,0.03,396.2,2388.0,100.0,38.440998,23.235079,36.0,,,,,,
8489.0,64.0,161.0,0.00026000012,0.00021999999,100.0,518.67,643.012,1603.187,1418.564,14.62,21.61,551.659,2388.286,9076.206,1.3,47.868,520.101,2388.2478,8155.438,8.48679,0.03,395.2,2388.0,100.0,38.600998,23.17778,35.0,,,,,,
8490.0,64.0,162.0,-0.0011399994,0.00042000005,100.0,518.67,643.40204,1595.977,1420.354,14.62,21.61,550.87897,2388.2458,9076.316,1.3,47.797997,519.861,2388.2678,8152.608,8.48049,0.03,395.2,2388.0,100.0,38.461,23.12048,34.0,,,,,,
8491.0,64.0,163.0,-0.0016399999,0.00027999998,100.0,518.67,643.492,1593.947,1423.9141,14.62,21.61,552.019,2388.2358,9082.866,1.3,47.817997,519.831,2388.198,8157.6777,8.506889,0.03,392.8,2388.0,100.0,38.401,23.21818,33.0,,,,,,
8492.0,64.0,164.0,-0.0017399997,-2.0000036e-05,100.0,518.67,642.588,1592.7731,1414.166,14.62,21.61,553.081,2388.2258,9080.437,1.3,47.511997,519.801,2388.1118,8154.1978,8.51139,0.03,391.8,2388.0,100.0,38.451,23.169619,32.0,,,,,,
8493.0,64.0,165.0,-0.00404,0.00017999997,100.0,518.67,643.168,1584.453,1411.006,14.62,21.61,553.42096,2388.276,9076.826,1.3,47.581997,521.369,2388.182,8160.728,8.49451,0.03,392.8,2388.0,100.0,38.440998,23.209719,31.0,,,,,,
8494.0,64.0,166.0,-0.00724,-0.00042,100.0,518.67,642.918,1602.6471,1427.734,14.62,21.61,552.019,2388.2659,9073.017,1.3,48.078,520.141,2388.2278,8154.008,8.47159,0.03,392.8,2388.0,100.0,38.621,23.26252,30.0,,,,,,
8495.0,64.0,167.0,0.0030399999,-0.00052,100.0,518.67,643.682,1604.8671,1420.934,14.62,21.61,551.449,2388.2458,9075.696,1.3,47.918,519.87103,2388.2378,8155.868,8.48699,0.03,396.2,2388.0,100.0,38.510998,23.11468,29.0,,,,,,
8496.0,64.0,168.0,0.00294,0.00027999998,100.0,518.67,643.34204,1602.5271,1423.064,14.62,21.61,551.42896,2388.286,9078.536,1.3,47.898,520.501,2388.198,8152.378,8.49249,0.03,395.2,2388.0,100.0,38.481,23.09458,28.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,32.14435577392578,0.09253378212451935,4.144355773925781,tensor(24.)
