index,unit,time,os1,os2,os3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,rul,RealRUL,Objective,PredRUL,RMSE_adversarial,RMSE_pred,L0
1903.0,17.0,86.0,-0.0031999999999999997,0.0,100.0,518.67,642.26,1590.69,1405.12,14.62,21.61,554.66,2387.97,9067.36,1.3,47.24,521.75,2387.98,8153.22,8.405,0.03,393.0,2388.0,100.0,39.05,23.3328,129.0,,,,,,
1904.0,17.0,87.0,-0.0008999999999999998,0.00010000000000000005,100.0,518.67,642.3,1585.39,1394.52,14.62,21.61,553.57,2388.04,9074.98,1.3,47.31,522.11,2388.02,8156.9,8.4167,0.03,392.0,2388.0,100.0,39.06,23.3264,128.0,,,,,,
1905.0,17.0,88.0,-0.0022000000000000014,0.00030000000000000003,100.0,518.67,642.63,1585.54,1395.74,14.62,21.61,554.81,2388.06,9068.41,1.3,47.29,522.63,2388.04,8151.44,8.4019,0.03,392.0,2388.0,100.0,38.99,23.2996,127.0,,,,,,
1906.0,17.0,89.0,0.002700000000000001,0.00030000000000000003,100.0,518.67,642.46,1578.26,1402.79,14.62,21.61,554.12,2387.96,9072.15,1.3,47.26,522.11,2388.01,8151.61,8.437,0.03,394.0,2388.0,100.0,39.07,23.3463,126.0,,,,,,
1907.0,17.0,90.0,-0.0018999999999999998,-0.0003,100.0,518.67,642.14,1589.25,1402.9,14.62,21.61,554.49,2388.01,9076.03,1.3,47.19,522.79,2388.0,8153.44,8.4048,0.03,391.0,2388.0,100.0,39.2,23.3147,125.0,,,,,,
1908.0,17.0,91.0,-0.0002999999999999999,0.0006,100.0,518.67,642.59,1578.91,1400.83,14.62,21.61,554.22,2387.98,9078.77,1.3,47.41,522.05,2388.02,8155.73,8.4095,0.03,393.0,2388.0,100.0,38.91,23.3383,124.0,,,,,,
1909.0,17.0,92.0,0.0020999999999999994,-0.00019999999999999998,100.0,518.67,641.97,1595.3,1404.17,14.62,21.61,554.75,2387.97,9072.2,1.3,47.2,522.0,2388.0,8153.95,8.3884,0.03,392.0,2388.0,100.0,39.01,23.3631,123.0,,,,,,
1910.0,17.0,93.0,0.0019000000000000006,-0.0003,100.0,518.67,641.98,1590.45,1402.56,14.62,21.61,554.53,2388.03,9072.79,1.3,47.41,521.91,2387.98,8153.68,8.4251,0.03,393.0,2388.0,100.0,38.96,23.3358,122.0,,,,,,
1911.0,17.0,94.0,-0.0022000000000000014,0.00030000000000000003,100.0,518.67,642.63,1584.7,1402.51,14.62,21.61,554.02,2388.03,9076.88,1.3,47.35,522.39,2387.99,8157.08,8.4197,0.03,393.0,2388.0,100.0,38.9,23.4786,121.0,,,,,,
1912.0,17.0,95.0,0.001299999999999999,0.0006,100.0,518.67,642.56,1586.06,1400.97,14.62,21.61,554.47,2388.06,9072.18,1.3,47.36,522.01,2388.02,8153.92,8.4022,0.03,390.0,2388.0,100.0,39.06,23.4905,120.0,,,,,,
