index,unit,time,os1,os2,os3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,rul,RealRUL,Objective,PredRUL,RMSE_adversarial,RMSE_pred,L0
126.0,3.0,47.0,0.0014999999999999996,-0.0005,100.0,518.67,642.63,1587.05,1407.79,14.62,21.61,553.6,2388.14,9051.69,1.3,47.56,520.81,2388.11,8137.44,8.4516,0.03,394.0,2388.0,100.0,38.88,23.3113,148.0,,,,,,
127.0,3.0,48.0,0.0008000000000000004,0.0,100.0,518.67,642.26,1586.63,1411.59,14.62,21.61,553.31,2388.08,9056.76,1.3,47.58,521.85,2388.09,8135.46,8.4567,0.03,393.0,2388.0,100.0,38.9,23.2519,147.0,,,,,,
128.0,3.0,49.0,0.0016000000000000007,-0.0003,100.0,518.67,642.29,1592.85,1406.74,14.62,21.61,553.64,2388.12,9047.48,1.3,47.54,521.54,2388.08,8131.23,8.4352,0.03,394.0,2388.0,100.0,38.85,23.1975,146.0,,,,,,
129.0,3.0,50.0,-0.0024000000000000002,0.00010000000000000005,100.0,518.67,642.62,1590.17,1412.49,14.62,21.61,552.57,2388.11,9054.14,1.3,47.68,521.54,2388.07,8133.81,8.4672,0.03,393.0,2388.0,100.0,38.71,23.3445,145.0,,,,,,
130.0,3.0,51.0,0.0016000000000000007,0.00030000000000000003,100.0,518.67,642.61,1588.68,1406.19,14.62,21.61,552.7,2388.11,9045.08,1.3,47.4,521.36,2388.12,8132.27,8.4294,0.03,393.0,2388.0,100.0,38.6,23.2918,144.0,,,,,,
131.0,3.0,52.0,0.0003999999999999993,-0.0004,100.0,518.67,642.77,1588.89,1406.76,14.62,21.61,553.04,2388.11,9054.14,1.3,47.43,522.1,2388.11,8133.85,8.4344,0.03,392.0,2388.0,100.0,38.91,23.3043,143.0,,,,,,
132.0,3.0,53.0,-0.0034000000000000002,-0.00010000000000000005,100.0,518.67,642.53,1588.86,1409.88,14.62,21.61,553.24,2388.13,9046.64,1.3,47.6,521.25,2388.13,8126.83,8.4125,0.03,393.0,2388.0,100.0,38.72,23.3259,142.0,,,,,,
133.0,3.0,54.0,0.0005999999999999998,0.00030000000000000003,100.0,518.67,642.6,1596.47,1408.82,14.62,21.61,553.6,2388.12,9054.38,1.3,47.52,521.3,2388.12,8134.63,8.4334,0.03,393.0,2388.0,100.0,38.92,23.2866,141.0,,,,,,
134.0,3.0,55.0,-0.007,0.0,100.0,518.67,642.77,1591.57,1409.51,14.62,21.61,554.42,2388.18,9051.92,1.3,47.63,521.23,2388.11,8132.55,8.4423,0.03,392.0,2388.0,100.0,39.0,23.2989,140.0,,,,,,
135.0,3.0,56.0,-0.0017999999999999995,-0.0005,100.0,518.67,642.48,1594.76,1407.64,14.62,21.61,552.96,2388.12,9051.64,1.3,47.45,521.72,2388.11,8128.25,8.4621,0.03,392.0,2388.0,100.0,38.89,23.3532,139.0,,,,,,
136.0,3.0,57.0,-0.0030999999999999995,0.0,100.0,518.67,642.3,1588.4,1409.37,14.62,21.61,553.88,2388.18,9058.79,1.3,47.69,521.32,2388.15,8127.92,8.4406,0.03,392.0,2388.0,100.0,38.76,23.2571,138.0,,,,,,
137.0,3.0,58.0,0.0002999999999999999,-0.00019999999999999998,100.0,518.67,642.21,1596.72,1416.17,14.62,21.61,553.24,2388.15,9055.83,1.3,47.6,521.08,2388.14,8129.73,8.4903,0.03,393.0,2388.0,100.0,38.86,23.3165,137.0,,,,,,
138.0,3.0,59.0,-0.00020000000000000052,-0.00010000000000000005,100.0,518.67,642.92,1589.09,1406.51,14.62,21.61,552.79,2388.1,9052.43,1.3,47.49,520.91,2388.12,8133.07,8.4042,0.03,394.0,2388.0,100.0,38.89,23.2791,136.0,,,,,,
139.0,3.0,60.0,-0.001,0.00030000000000000003,100.0,518.67,642.7,1586.17,1411.97,14.62,21.61,553.14,2388.15,9052.17,1.3,47.45,521.4,2388.07,8129.02,8.4746,0.03,394.0,2388.0,100.0,38.79,23.2657,135.0,,,,,,
140.0,3.0,61.0,9.99999999999994e-05,0.00019999999999999998,100.0,518.67,642.26,1594.76,1408.88,14.62,21.61,553.74,2388.12,9049.64,1.3,47.59,521.19,2388.08,8135.7,8.4224,0.03,395.0,2388.0,100.0,38.85,23.2423,134.0,,,,,,
141.0,3.0,62.0,0.0008000000000000004,0.00030000000000000003,100.0,518.67,642.5,1594.72,1396.96,14.62,21.61,553.83,2388.15,9054.32,1.3,47.57,521.52,2388.11,8129.64,8.412,0.03,393.0,2388.0,100.0,38.71,23.2947,133.0,,,,,,
142.0,3.0,63.0,-0.0003999999999999993,0.0,100.0,518.67,642.93,1588.79,1402.3,14.62,21.61,552.62,2388.18,9050.53,1.3,47.59,520.85,2388.13,8127.58,8.4595,0.03,393.0,2388.0,100.0,38.9,23.2126,132.0,,,,,,
143.0,3.0,64.0,-0.0014000000000000002,-0.0004,100.0,518.67,643.09,1584.76,1410.91,14.62,21.61,554.3,2388.06,9057.67,1.3,47.43,521.04,2388.13,8128.41,8.4524,0.03,392.0,2388.0,100.0,38.99,23.1985,131.0,,,,,,
144.0,3.0,65.0,-0.0005000000000000004,0.00010000000000000005,100.0,518.67,642.86,1591.13,1403.62,14.62,21.61,552.99,2388.15,9057.11,1.3,47.37,520.79,2388.15,8132.1,8.4622,0.03,392.0,2388.0,100.0,38.62,23.2824,130.0,,,,,,
