1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.4338199496269226, 'RMSE_adversarial': 0.06691673398017883, 'RMSE_pred': 75.47767639160156, 'L0': tensor(16.5455)}
1, 0.5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.4818655252456665, 'RMSE_adversarial': 0.05495158210396767, 'RMSE_pred': 75.4413833618164, 'L0': tensor(17.8052)}
1, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.31034886837005615, 'RMSE_adversarial': 0.0789300948381424, 'RMSE_pred': 75.60459899902344, 'L0': tensor(15.6234)}
1, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.23787184059619904, 'RMSE_adversarial': 0.08132782578468323, 'RMSE_pred': 75.67198944091797, 'L0': tensor(19.4156)}
1, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.21766401827335358, 'RMSE_adversarial': 0.0819704532623291, 'RMSE_pred': 75.69804382324219, 'L0': tensor(20.9610)}
1, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.20765189826488495, 'RMSE_adversarial': 0.08235251158475876, 'RMSE_pred': 75.7118911743164, 'L0': tensor(21.6623)}
1, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.19379574060440063, 'RMSE_adversarial': 0.08331099152565002, 'RMSE_pred': 75.72980499267578, 'L0': tensor(22.5455)}
0.5, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5379796028137207, 'RMSE_adversarial': 0.06016670912504196, 'RMSE_pred': 75.36737823486328, 'L0': tensor(15.7403)}
0.5, 0.5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6464287638664246, 'RMSE_adversarial': 0.0494113452732563, 'RMSE_pred': 75.31090545654297, 'L0': tensor(16.7403)}
0.5, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.33567923307418823, 'RMSE_adversarial': 0.07805808633565903, 'RMSE_pred': 75.58484649658203, 'L0': tensor(13.8701)}
0.5, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.24358771741390228, 'RMSE_adversarial': 0.08042467385530472, 'RMSE_pred': 75.66334533691406, 'L0': tensor(18.3506)}
0.5, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.22354407608509064, 'RMSE_adversarial': 0.08124841004610062, 'RMSE_pred': 75.69231414794922, 'L0': tensor(19.9610)}
0.5, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.21488896012306213, 'RMSE_adversarial': 0.08126326650381088, 'RMSE_pred': 75.7019271850586, 'L0': tensor(20.6234)}
