1, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0365400314331055, 'RMSE_adversarial': 0.12631502747535706, 'RMSE_pred': 75.04730224609375, 'L0': tensor(11.0649)}
1, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7748901844024658, 'RMSE_adversarial': 0.15736760199069977, 'RMSE_pred': 75.25086975097656, 'L0': tensor(16.3896)}
1, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.782050609588623, 'RMSE_adversarial': 0.15902827680110931, 'RMSE_pred': 75.23783111572266, 'L0': tensor(16.8052)}
1, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7626081705093384, 'RMSE_adversarial': 0.16033263504505157, 'RMSE_pred': 75.25865173339844, 'L0': tensor(16.8571)}
1, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7631004452705383, 'RMSE_adversarial': 0.16066433489322662, 'RMSE_pred': 75.25792694091797, 'L0': tensor(16.9091)}
1, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7626389861106873, 'RMSE_adversarial': 0.16095033288002014, 'RMSE_pred': 75.25861358642578, 'L0': tensor(16.9221)}
1, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.762295126914978, 'RMSE_adversarial': 0.1610119342803955, 'RMSE_pred': 75.25900268554688, 'L0': tensor(16.9481)}
1, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7641441822052002, 'RMSE_adversarial': 0.16114281117916107, 'RMSE_pred': 75.25662231445312, 'L0': tensor(16.9740)}
1, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7648249268531799, 'RMSE_adversarial': 0.1614781618118286, 'RMSE_pred': 75.25659942626953, 'L0': tensor(17.)}
0.5, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.177062749862671, 'RMSE_adversarial': 0.12148591876029968, 'RMSE_pred': 74.93270111083984, 'L0': tensor(8.5844)}
0.5, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7865358591079712, 'RMSE_adversarial': 0.15399891138076782, 'RMSE_pred': 75.23807525634766, 'L0': tensor(15.7662)}
0.5, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7819184064865112, 'RMSE_adversarial': 0.15725962817668915, 'RMSE_pred': 75.23854064941406, 'L0': tensor(16.5065)}
0.5, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7625843286514282, 'RMSE_adversarial': 0.15884655714035034, 'RMSE_pred': 75.25863647460938, 'L0': tensor(16.6104)}
0.5, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7630188465118408, 'RMSE_adversarial': 0.1593194454908371, 'RMSE_pred': 75.25786590576172, 'L0': tensor(16.6753)}
0.5, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7622919082641602, 'RMSE_adversarial': 0.15966275334358215, 'RMSE_pred': 75.25879669189453, 'L0': tensor(16.7013)}
0.5, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7618888020515442, 'RMSE_adversarial': 0.1597922295331955, 'RMSE_pred': 75.25890350341797, 'L0': tensor(16.7532)}
0.5, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.762863278388977, 'RMSE_adversarial': 0.1602085530757904, 'RMSE_pred': 75.2581558227539, 'L0': tensor(16.8312)}
0.5, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7640426158905029, 'RMSE_adversarial': 0.16121713817119598, 'RMSE_pred': 75.25712585449219, 'L0': tensor(17.)}
0.25, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.293906331062317, 'RMSE_adversarial': 0.12115862220525742, 'RMSE_pred': 74.80775451660156, 'L0': tensor(6.4675)}
0.25, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7833449244499207, 'RMSE_adversarial': 0.1507795751094818, 'RMSE_pred': 75.2414779663086, 'L0': tensor(14.9351)}
0.25, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7800835967063904, 'RMSE_adversarial': 0.1543659120798111, 'RMSE_pred': 75.24110412597656, 'L0': tensor(15.8442)}
0.25, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7628509998321533, 'RMSE_adversarial': 0.15617254376411438, 'RMSE_pred': 75.25827026367188, 'L0': tensor(16.0909)}
0.25, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7618990540504456, 'RMSE_adversarial': 0.15680140256881714, 'RMSE_pred': 75.25924682617188, 'L0': tensor(16.1688)}
0.25, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.761626124382019, 'RMSE_adversarial': 0.1571637988090515, 'RMSE_pred': 75.25902557373047, 'L0': tensor(16.2208)}
0.25, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.76140296459198, 'RMSE_adversarial': 0.15737606585025787, 'RMSE_pred': 75.25948333740234, 'L0': tensor(16.2987)}
0.25, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7612508535385132, 'RMSE_adversarial': 0.15837065875530243, 'RMSE_pred': 75.25993347167969, 'L0': tensor(16.5584)}
0.25, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7621151804924011, 'RMSE_adversarial': 0.16033387184143066, 'RMSE_pred': 75.25933074951172, 'L0': tensor(16.8701)}
0.125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.4875426292419434, 'RMSE_adversarial': 0.12161750346422195, 'RMSE_pred': 74.62507629394531, 'L0': tensor(4.7143)}
0.125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7839497327804565, 'RMSE_adversarial': 0.14623387157917023, 'RMSE_pred': 75.2419204711914, 'L0': tensor(13.6364)}
0.125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7804501056671143, 'RMSE_adversarial': 0.15063440799713135, 'RMSE_pred': 75.24317169189453, 'L0': tensor(14.9481)}
0.125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7616062760353088, 'RMSE_adversarial': 0.15259703993797302, 'RMSE_pred': 75.25956726074219, 'L0': tensor(15.1558)}
0.125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7605933547019958, 'RMSE_adversarial': 0.15329758822917938, 'RMSE_pred': 75.26073455810547, 'L0': tensor(15.2468)}
0.125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7605379819869995, 'RMSE_adversarial': 0.1536392867565155, 'RMSE_pred': 75.26031494140625, 'L0': tensor(15.3247)}
0.125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7596991658210754, 'RMSE_adversarial': 0.15399795770645142, 'RMSE_pred': 75.26103973388672, 'L0': tensor(15.5714)}
0.125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7596968412399292, 'RMSE_adversarial': 0.15530796349048615, 'RMSE_pred': 75.26101684570312, 'L0': tensor(15.9221)}
0.125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7622268199920654, 'RMSE_adversarial': 0.15859267115592957, 'RMSE_pred': 75.25885772705078, 'L0': tensor(16.6494)}
0.0625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.6802982091903687, 'RMSE_adversarial': 0.1230536475777626, 'RMSE_pred': 74.43708038330078, 'L0': tensor(3.3636)}
0.0625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8046920895576477, 'RMSE_adversarial': 0.14078833162784576, 'RMSE_pred': 75.22172546386719, 'L0': tensor(12.0260)}
0.0625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7846053242683411, 'RMSE_adversarial': 0.14601102471351624, 'RMSE_pred': 75.23908233642578, 'L0': tensor(13.7143)}
0.0625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7624070644378662, 'RMSE_adversarial': 0.14829568564891815, 'RMSE_pred': 75.26014709472656, 'L0': tensor(14.0519)}
0.0625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7600000500679016, 'RMSE_adversarial': 0.1491071879863739, 'RMSE_pred': 75.26192474365234, 'L0': tensor(14.1948)}
0.0625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7587394714355469, 'RMSE_adversarial': 0.14932554960250854, 'RMSE_pred': 75.2625961303711, 'L0': tensor(14.3377)}
0.0625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7583322525024414, 'RMSE_adversarial': 0.1496298462152481, 'RMSE_pred': 75.26325225830078, 'L0': tensor(14.5714)}
0.0625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7585405111312866, 'RMSE_adversarial': 0.15124735236167908, 'RMSE_pred': 75.26261138916016, 'L0': tensor(15.)}
0.0625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.7598362565040588, 'RMSE_adversarial': 0.15565495193004608, 'RMSE_pred': 75.26087951660156, 'L0': tensor(16.0649)}
0.03125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.7692233324050903, 'RMSE_adversarial': 0.12602952122688293, 'RMSE_pred': 74.37905883789062, 'L0': tensor(2.6234)}
