1, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8441858887672424, 'RMSE_adversarial': 0.051084257662296295, 'RMSE_pred': 75.09767150878906, 'L0': tensor(11.9091)}
1, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6387608647346497, 'RMSE_adversarial': 0.06852205097675323, 'RMSE_pred': 75.29368591308594, 'L0': tensor(10.3896)}
1, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.31054455041885376, 'RMSE_adversarial': 0.07905439287424088, 'RMSE_pred': 75.60568237304688, 'L0': tensor(15.3766)}
1, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.25951528549194336, 'RMSE_adversarial': 0.08057156205177307, 'RMSE_pred': 75.6466293334961, 'L0': tensor(18.0260)}
1, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2386900633573532, 'RMSE_adversarial': 0.08139986544847488, 'RMSE_pred': 75.67105865478516, 'L0': tensor(19.2857)}
1, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2170717567205429, 'RMSE_adversarial': 0.08197718858718872, 'RMSE_pred': 75.69904327392578, 'L0': tensor(20.9610)}
1, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.20782975852489471, 'RMSE_adversarial': 0.0823579654097557, 'RMSE_pred': 75.71168518066406, 'L0': tensor(21.6494)}
1, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.19568483531475067, 'RMSE_adversarial': 0.08280536532402039, 'RMSE_pred': 75.7279052734375, 'L0': tensor(22.0909)}
1, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.19286049902439117, 'RMSE_adversarial': 0.08332465589046478, 'RMSE_pred': 75.73114013671875, 'L0': tensor(22.5455)}
0.5, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.16721773147583, 'RMSE_adversarial': 0.050172802060842514, 'RMSE_pred': 74.78649139404297, 'L0': tensor(9.7403)}
0.5, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8863286375999451, 'RMSE_adversarial': 0.06777812540531158, 'RMSE_pred': 75.01811218261719, 'L0': tensor(7.9870)}
0.5, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3458588719367981, 'RMSE_adversarial': 0.07851006090641022, 'RMSE_pred': 75.57698822021484, 'L0': tensor(13.9091)}
0.5, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2666483223438263, 'RMSE_adversarial': 0.07967238873243332, 'RMSE_pred': 75.64096069335938, 'L0': tensor(16.8312)}
