1, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.14418725669384003, 'RMSE_adversarial': 0.04759594425559044, 'RMSE_pred': 75.91743469238281, 'L0': tensor(11.4935)}
1, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.15991465747356415, 'RMSE_adversarial': 0.05853128433227539, 'RMSE_pred': 75.90664672851562, 'L0': tensor(11.8961)}
1, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.049498751759529114, 'RMSE_adversarial': 0.06823401153087616, 'RMSE_pred': 75.97530364990234, 'L0': tensor(12.7403)}
1, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.007683404255658388, 'RMSE_adversarial': 0.06721261143684387, 'RMSE_pred': 76.00117492675781, 'L0': tensor(15.0649)}
1, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.004779360257089138, 'RMSE_adversarial': 0.06864702701568604, 'RMSE_pred': 76.00287628173828, 'L0': tensor(17.0649)}
1, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0006942896288819611, 'RMSE_adversarial': 0.06988751888275146, 'RMSE_pred': 76.00299835205078, 'L0': tensor(19.0909)}
1, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0002562539011705667, 'RMSE_adversarial': 0.0701543390750885, 'RMSE_pred': 76.00325012207031, 'L0': tensor(19.8701)}
1, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0006556874723173678, 'RMSE_adversarial': 0.07054334133863449, 'RMSE_pred': 76.00304412841797, 'L0': tensor(20.7403)}
1, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0007410006946884096, 'RMSE_adversarial': 0.07152128219604492, 'RMSE_pred': 76.00301361083984, 'L0': tensor(21.3636)}
0.5, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.24855521321296692, 'RMSE_adversarial': 0.0433078333735466, 'RMSE_pred': 75.83733367919922, 'L0': tensor(10.5974)}
0.5, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.27431055903434753, 'RMSE_adversarial': 0.06605717539787292, 'RMSE_pred': 75.823974609375, 'L0': tensor(9.5455)}
