1, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.4338915348052979, 'RMSE_adversarial': 0.04563753306865692, 'RMSE_pred': 74.90362548828125, 'L0': tensor(11.0390)}
1, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2278757393360138, 'RMSE_adversarial': 0.04000730440020561, 'RMSE_pred': 75.83958435058594, 'L0': tensor(13.6364)}
1, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.14689165353775024, 'RMSE_adversarial': 0.048007626086473465, 'RMSE_pred': 75.92264556884766, 'L0': tensor(13.1169)}
1, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0713420957326889, 'RMSE_adversarial': 0.052270494401454926, 'RMSE_pred': 75.98494720458984, 'L0': tensor(13.3377)}
1, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.030422953888773918, 'RMSE_adversarial': 0.05468078702688217, 'RMSE_pred': 75.99604797363281, 'L0': tensor(14.8312)}
1, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.005068399477750063, 'RMSE_adversarial': 0.0572456531226635, 'RMSE_pred': 76.00286865234375, 'L0': tensor(17.8831)}
1, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0035791718401014805, 'RMSE_adversarial': 0.06028103828430176, 'RMSE_pred': 76.00257110595703, 'L0': tensor(18.8182)}
1, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0040250238962471485, 'RMSE_adversarial': 0.06225042790174484, 'RMSE_pred': 76.00245666503906, 'L0': tensor(19.6234)}
1, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.00039356830529868603, 'RMSE_adversarial': 0.06346404552459717, 'RMSE_pred': 76.00252532958984, 'L0': tensor(20.5065)}
0.5, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.7191368341445923, 'RMSE_adversarial': 0.04327995702624321, 'RMSE_pred': 74.65294647216797, 'L0': tensor(10.3377)}
0.5, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.3500997722148895, 'RMSE_adversarial': 0.03929454833269119, 'RMSE_pred': 75.72218322753906, 'L0': tensor(12.2468)}
0.5, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.21923838555812836, 'RMSE_adversarial': 0.04976370185613632, 'RMSE_pred': 75.88082122802734, 'L0': tensor(10.8442)}
0.5, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.12522588670253754, 'RMSE_adversarial': 0.05174613371491432, 'RMSE_pred': 75.96727752685547, 'L0': tensor(12.2727)}
0.5, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.038132842630147934, 'RMSE_adversarial': 0.05302305519580841, 'RMSE_pred': 75.99494934082031, 'L0': tensor(14.0909)}
