1, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.5937174558639526, 'RMSE_adversarial': 0.11369799822568893, 'RMSE_pred': 74.70738983154297, 'L0': tensor(23.)}
1, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.606408953666687, 'RMSE_adversarial': 0.14378118515014648, 'RMSE_pred': 75.41436004638672, 'L0': tensor(23.)}
1, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5990055203437805, 'RMSE_adversarial': 0.14415478706359863, 'RMSE_pred': 75.4206314086914, 'L0': tensor(23.)}
1, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5906811952590942, 'RMSE_adversarial': 0.14463022351264954, 'RMSE_pred': 75.42654418945312, 'L0': tensor(23.)}
1, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5910804867744446, 'RMSE_adversarial': 0.14461180567741394, 'RMSE_pred': 75.4262924194336, 'L0': tensor(23.0260)}
1, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5902743339538574, 'RMSE_adversarial': 0.14461907744407654, 'RMSE_pred': 75.42701721191406, 'L0': tensor(23.1169)}
1, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5896334648132324, 'RMSE_adversarial': 0.14465203881263733, 'RMSE_pred': 75.42776489257812, 'L0': tensor(23.1429)}
1, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5904316306114197, 'RMSE_adversarial': 0.14460919797420502, 'RMSE_pred': 75.42668151855469, 'L0': tensor(23.1948)}
1, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.590948760509491, 'RMSE_adversarial': 0.14456523954868317, 'RMSE_pred': 75.42628479003906, 'L0': tensor(23.2468)}
0.5, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.4241185188293457, 'RMSE_adversarial': 0.10122636705636978, 'RMSE_pred': 74.0267105102539, 'L0': tensor(22.9870)}
0.5, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6093918681144714, 'RMSE_adversarial': 0.1437719464302063, 'RMSE_pred': 75.40927124023438, 'L0': tensor(23.)}
0.5, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6024137139320374, 'RMSE_adversarial': 0.14393733441829681, 'RMSE_pred': 75.41869354248047, 'L0': tensor(23.)}
0.5, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5912215113639832, 'RMSE_adversarial': 0.14461518824100494, 'RMSE_pred': 75.42591857910156, 'L0': tensor(23.)}
0.5, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5906717777252197, 'RMSE_adversarial': 0.14464245736598969, 'RMSE_pred': 75.42649841308594, 'L0': tensor(23.)}
0.5, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5897074341773987, 'RMSE_adversarial': 0.1446649581193924, 'RMSE_pred': 75.42733001708984, 'L0': tensor(23.0909)}
0.5, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5893614292144775, 'RMSE_adversarial': 0.14467337727546692, 'RMSE_pred': 75.42771911621094, 'L0': tensor(23.1299)}
0.5, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5897712707519531, 'RMSE_adversarial': 0.14464977383613586, 'RMSE_pred': 75.42767333984375, 'L0': tensor(23.1948)}
0.5, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5901810526847839, 'RMSE_adversarial': 0.14461944997310638, 'RMSE_pred': 75.42691040039062, 'L0': tensor(23.2208)}
0.25, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 3.6144473552703857, 'RMSE_adversarial': 0.08907666802406311, 'RMSE_pred': 73.00935363769531, 'L0': tensor(22.9870)}
0.25, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6042332053184509, 'RMSE_adversarial': 0.14377999305725098, 'RMSE_pred': 75.41585540771484, 'L0': tensor(23.)}
0.25, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6025334000587463, 'RMSE_adversarial': 0.1440081149339676, 'RMSE_pred': 75.41403198242188, 'L0': tensor(23.)}
0.25, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5901933908462524, 'RMSE_adversarial': 0.14466507732868195, 'RMSE_pred': 75.42688751220703, 'L0': tensor(23.)}
0.25, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.589950680732727, 'RMSE_adversarial': 0.14468097686767578, 'RMSE_pred': 75.42700958251953, 'L0': tensor(23.)}
0.25, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5889060497283936, 'RMSE_adversarial': 0.14474928379058838, 'RMSE_pred': 75.42742919921875, 'L0': tensor(23.0649)}
0.25, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5882964730262756, 'RMSE_adversarial': 0.14475572109222412, 'RMSE_pred': 75.42839050292969, 'L0': tensor(23.1039)}
0.25, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5885964035987854, 'RMSE_adversarial': 0.1447248011827469, 'RMSE_pred': 75.4283218383789, 'L0': tensor(23.1429)}
0.25, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5900331735610962, 'RMSE_adversarial': 0.14463357627391815, 'RMSE_pred': 75.42693328857422, 'L0': tensor(23.1688)}
0.125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 5.197754859924316, 'RMSE_adversarial': 0.07803667336702347, 'RMSE_pred': 71.63829040527344, 'L0': tensor(23.)}
0.125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8817699551582336, 'RMSE_adversarial': 0.14029258489608765, 'RMSE_pred': 75.28172302246094, 'L0': tensor(22.9870)}
0.125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6025466322898865, 'RMSE_adversarial': 0.1440287083387375, 'RMSE_pred': 75.41600036621094, 'L0': tensor(23.)}
0.125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5899546146392822, 'RMSE_adversarial': 0.14467476308345795, 'RMSE_pred': 75.4271240234375, 'L0': tensor(23.)}
0.125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5889415144920349, 'RMSE_adversarial': 0.14475642144680023, 'RMSE_pred': 75.42784118652344, 'L0': tensor(23.)}
0.125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5864737629890442, 'RMSE_adversarial': 0.1448962390422821, 'RMSE_pred': 75.42963409423828, 'L0': tensor(23.0519)}
0.125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.586403489112854, 'RMSE_adversarial': 0.14488475024700165, 'RMSE_pred': 75.42989349365234, 'L0': tensor(23.1039)}
