1, 1, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.23681244254112244, 'RMSE_adversarial': 0.0813400149345398, 'RMSE_pred': 75.67339324951172, 'L0': tensor(19.4545)}
1, 1, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2367534339427948, 'RMSE_adversarial': 0.08134336024522781, 'RMSE_pred': 75.67346954345703, 'L0': tensor(19.4156)}
1, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.23683661222457886, 'RMSE_adversarial': 0.081345334649086, 'RMSE_pred': 75.67328643798828, 'L0': tensor(19.3896)}
1, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.24048353731632233, 'RMSE_adversarial': 0.08157896995544434, 'RMSE_pred': 75.66854858398438, 'L0': tensor(19.2597)}
1, 2, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.23691365122795105, 'RMSE_adversarial': 0.08133770525455475, 'RMSE_pred': 75.67330169677734, 'L0': tensor(19.4675)}
1, 2, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.23749180138111115, 'RMSE_adversarial': 0.08133456110954285, 'RMSE_pred': 75.67257690429688, 'L0': tensor(19.4156)}
1, 2, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2372719943523407, 'RMSE_adversarial': 0.08133861422538757, 'RMSE_pred': 75.67276000976562, 'L0': tensor(19.4026)}
1, 2, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2409829944372177, 'RMSE_adversarial': 0.08137556910514832, 'RMSE_pred': 75.66812133789062, 'L0': tensor(19.1688)}
1, 5, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.2389758676290512, 'RMSE_adversarial': 0.081303171813488, 'RMSE_pred': 75.67045593261719, 'L0': tensor(19.4805)}
1, 5, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.23831263184547424, 'RMSE_adversarial': 0.08131822943687439, 'RMSE_pred': 75.67131042480469, 'L0': tensor(19.4156)}
1, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.23870542645454407, 'RMSE_adversarial': 0.08131688088178635, 'RMSE_pred': 75.6707534790039, 'L0': tensor(19.3896)}
