1, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0354100465774536, 'RMSE_adversarial': 0.1261531263589859, 'RMSE_pred': 75.0497055053711, 'L0': tensor(11.5584)}
1, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1326024532318115, 'RMSE_adversarial': 0.12396453320980072, 'RMSE_pred': 74.95980072021484, 'L0': tensor(11.5714)}
1, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.2291572093963623, 'RMSE_adversarial': 0.12204403430223465, 'RMSE_pred': 74.86703491210938, 'L0': tensor(11.8961)}
1, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.8680546283721924, 'RMSE_adversarial': 0.10728932917118073, 'RMSE_pred': 73.70462036132812, 'L0': tensor(13.8312)}
1, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9708166718482971, 'RMSE_adversarial': 0.12786313891410828, 'RMSE_pred': 75.10882568359375, 'L0': tensor(11.3377)}
1, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0260734558105469, 'RMSE_adversarial': 0.12645970284938812, 'RMSE_pred': 75.04662322998047, 'L0': tensor(11.1688)}
1, 3, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0338084697723389, 'RMSE_adversarial': 0.12623679637908936, 'RMSE_pred': 75.0488510131836, 'L0': tensor(11.1039)}
1, 3, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.2936351299285889, 'RMSE_adversarial': 0.12094450742006302, 'RMSE_pred': 74.80681610107422, 'L0': tensor(11.5844)}
1, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9638553261756897, 'RMSE_adversarial': 0.12805120646953583, 'RMSE_pred': 75.1078872680664, 'L0': tensor(11.3377)}
1, 5, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0054553747177124, 'RMSE_adversarial': 0.12686686217784882, 'RMSE_pred': 75.07586669921875, 'L0': tensor(11.0260)}
1, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0121723413467407, 'RMSE_adversarial': 0.12708617746829987, 'RMSE_pred': 75.06473541259766, 'L0': tensor(10.8831)}
1, 5, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1486660242080688, 'RMSE_adversarial': 0.12433060258626938, 'RMSE_pred': 74.94207000732422, 'L0': tensor(10.9610)}
1, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9679857492446899, 'RMSE_adversarial': 0.1278495341539383, 'RMSE_pred': 75.1091079711914, 'L0': tensor(11.3506)}
1, 8, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9850218296051025, 'RMSE_adversarial': 0.1275394856929779, 'RMSE_pred': 75.08866119384766, 'L0': tensor(11.1299)}
1, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9859684705734253, 'RMSE_adversarial': 0.12759973108768463, 'RMSE_pred': 75.09469604492188, 'L0': tensor(10.8182)}
1, 8, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.072516679763794, 'RMSE_adversarial': 0.125438392162323, 'RMSE_pred': 75.02104187011719, 'L0': tensor(10.8961)}
0.5, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1897023916244507, 'RMSE_adversarial': 0.12106645107269287, 'RMSE_pred': 74.91352844238281, 'L0': tensor(9.3896)}
0.5, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.3051249980926514, 'RMSE_adversarial': 0.11801140755414963, 'RMSE_pred': 74.81224060058594, 'L0': tensor(9.4935)}
0.5, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.4606434106826782, 'RMSE_adversarial': 0.11432590335607529, 'RMSE_pred': 74.7020263671875, 'L0': tensor(10.1169)}
0.5, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 3.7895548343658447, 'RMSE_adversarial': 0.10041715204715729, 'RMSE_pred': 73.81547546386719, 'L0': tensor(12.1688)}
0.5, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.117293119430542, 'RMSE_adversarial': 0.1226731613278389, 'RMSE_pred': 74.97406005859375, 'L0': tensor(9.0649)}
0.5, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1846755743026733, 'RMSE_adversarial': 0.12119001895189285, 'RMSE_pred': 74.91389465332031, 'L0': tensor(9.0649)}
0.5, 3, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.2401460409164429, 'RMSE_adversarial': 0.12032613158226013, 'RMSE_pred': 74.84403991699219, 'L0': tensor(8.8571)}
0.5, 3, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.4625236988067627, 'RMSE_adversarial': 0.1147516593337059, 'RMSE_pred': 74.68978881835938, 'L0': tensor(9.5584)}
0.5, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1220122575759888, 'RMSE_adversarial': 0.12288959324359894, 'RMSE_pred': 74.9623031616211, 'L0': tensor(9.0260)}
0.5, 5, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1293476819992065, 'RMSE_adversarial': 0.12271774560213089, 'RMSE_pred': 74.95042419433594, 'L0': tensor(8.8182)}
0.5, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1669297218322754, 'RMSE_adversarial': 0.12220460176467896, 'RMSE_pred': 74.92557525634766, 'L0': tensor(8.5974)}
0.5, 5, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.3326432704925537, 'RMSE_adversarial': 0.11808615922927856, 'RMSE_pred': 74.76004791259766, 'L0': tensor(8.9091)}
0.5, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1132856607437134, 'RMSE_adversarial': 0.12312532216310501, 'RMSE_pred': 74.9754638671875, 'L0': tensor(8.9610)}
0.5, 8, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1242479085922241, 'RMSE_adversarial': 0.12277774512767792, 'RMSE_pred': 74.96929168701172, 'L0': tensor(8.7532)}
0.5, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.1488773822784424, 'RMSE_adversarial': 0.12251507490873337, 'RMSE_pred': 74.93896484375, 'L0': tensor(8.5195)}
0.5, 8, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.2533838748931885, 'RMSE_adversarial': 0.11991102248430252, 'RMSE_pred': 74.85628509521484, 'L0': tensor(8.6623)}
0.25, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.3426432609558105, 'RMSE_adversarial': 0.11987394094467163, 'RMSE_pred': 74.75584411621094, 'L0': tensor(7.0779)}
0.25, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.548530101776123, 'RMSE_adversarial': 0.1143307089805603, 'RMSE_pred': 74.59642028808594, 'L0': tensor(7.4805)}
0.25, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.6877573728561401, 'RMSE_adversarial': 0.11154896020889282, 'RMSE_pred': 74.43306732177734, 'L0': tensor(7.6883)}
0.25, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 5.4559831619262695, 'RMSE_adversarial': 0.09355396777391434, 'RMSE_pred': 71.92306518554688, 'L0': tensor(9.6623)}
0.25, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.257035732269287, 'RMSE_adversarial': 0.1219554990530014, 'RMSE_pred': 74.85060119628906, 'L0': tensor(6.7143)}
0.25, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.3133461475372314, 'RMSE_adversarial': 0.12050510197877884, 'RMSE_pred': 74.77515411376953, 'L0': tensor(6.6234)}
0.25, 3, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.3454792499542236, 'RMSE_adversarial': 0.11961657553911209, 'RMSE_pred': 74.76677703857422, 'L0': tensor(6.7013)}
0.25, 3, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.6877796649932861, 'RMSE_adversarial': 0.11229292303323746, 'RMSE_pred': 74.44922637939453, 'L0': tensor(7.2338)}
0.25, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.2543202638626099, 'RMSE_adversarial': 0.12207628786563873, 'RMSE_pred': 74.84712982177734, 'L0': tensor(6.6753)}
0.25, 5, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.283738374710083, 'RMSE_adversarial': 0.12115471065044403, 'RMSE_pred': 74.82032012939453, 'L0': tensor(6.5325)}
0.25, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.2969906330108643, 'RMSE_adversarial': 0.12099506705999374, 'RMSE_pred': 74.78887939453125, 'L0': tensor(6.5584)}
0.25, 5, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.4958552122116089, 'RMSE_adversarial': 0.11591501533985138, 'RMSE_pred': 74.6314697265625, 'L0': tensor(6.7922)}
0.25, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.254741907119751, 'RMSE_adversarial': 0.12208689004182816, 'RMSE_pred': 74.84608459472656, 'L0': tensor(6.6234)}
