1, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.613234281539917, 'RMSE_adversarial': 0.06616396456956863, 'RMSE_pred': 75.30472564697266, 'L0': tensor(11.3766)}
1, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5998942852020264, 'RMSE_adversarial': 0.07054470479488373, 'RMSE_pred': 75.32457733154297, 'L0': tensor(11.1558)}
1, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5818164944648743, 'RMSE_adversarial': 0.07344388216733932, 'RMSE_pred': 75.34366607666016, 'L0': tensor(11.7532)}
1, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.632415771484375, 'RMSE_adversarial': 0.08552500605583191, 'RMSE_pred': 75.26689147949219, 'L0': tensor(12.4286)}
1, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6305088400840759, 'RMSE_adversarial': 0.06576097756624222, 'RMSE_pred': 75.29190826416016, 'L0': tensor(11.4805)}
1, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6146568059921265, 'RMSE_adversarial': 0.06874633580446243, 'RMSE_pred': 75.30796813964844, 'L0': tensor(10.8182)}
1, 3, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6108518242835999, 'RMSE_adversarial': 0.06864315271377563, 'RMSE_pred': 75.29803466796875, 'L0': tensor(10.2987)}
1, 3, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5841514468193054, 'RMSE_adversarial': 0.07421493530273438, 'RMSE_pred': 75.3235855102539, 'L0': tensor(10.8052)}
1, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6438865661621094, 'RMSE_adversarial': 0.06573563814163208, 'RMSE_pred': 75.2886734008789, 'L0': tensor(11.6494)}
1, 5, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6123945713043213, 'RMSE_adversarial': 0.06802269071340561, 'RMSE_pred': 75.31652069091797, 'L0': tensor(10.7922)}
1, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6328386664390564, 'RMSE_adversarial': 0.06830592453479767, 'RMSE_pred': 75.28707122802734, 'L0': tensor(10.1948)}
1, 5, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.592173159122467, 'RMSE_adversarial': 0.07351340353488922, 'RMSE_pred': 75.32599639892578, 'L0': tensor(10.2727)}
1, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6512537598609924, 'RMSE_adversarial': 0.0657057836651802, 'RMSE_pred': 75.28515625, 'L0': tensor(11.6104)}
1, 8, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6416850686073303, 'RMSE_adversarial': 0.06707442551851273, 'RMSE_pred': 75.2933578491211, 'L0': tensor(10.6883)}
1, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6308514475822449, 'RMSE_adversarial': 0.06847133487462997, 'RMSE_pred': 75.2973861694336, 'L0': tensor(10.1948)}
1, 8, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5741561055183411, 'RMSE_adversarial': 0.07098899036645889, 'RMSE_pred': 75.33707427978516, 'L0': tensor(9.8961)}
0.5, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.9751977324485779, 'RMSE_adversarial': 0.06306198984384537, 'RMSE_pred': 74.98649597167969, 'L0': tensor(10.2468)}
0.5, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8112630844116211, 'RMSE_adversarial': 0.06944910436868668, 'RMSE_pred': 75.1185302734375, 'L0': tensor(9.7013)}
