1, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.04974232614040375, 'RMSE_adversarial': 0.06582396477460861, 'RMSE_pred': 75.9744873046875, 'L0': tensor(13.6623)}
1, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.04228607937693596, 'RMSE_adversarial': 0.06508314609527588, 'RMSE_pred': 75.97917175292969, 'L0': tensor(12.7013)}
1, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.03524112328886986, 'RMSE_adversarial': 0.0708133727312088, 'RMSE_pred': 75.97588348388672, 'L0': tensor(12.6623)}
1, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.01754157617688179, 'RMSE_adversarial': 0.07724674791097641, 'RMSE_pred': 75.99427795410156, 'L0': tensor(13.1948)}
1, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.057447854429483414, 'RMSE_adversarial': 0.06586561352014542, 'RMSE_pred': 75.97157287597656, 'L0': tensor(13.7532)}
1, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.06355518102645874, 'RMSE_adversarial': 0.0658370852470398, 'RMSE_pred': 75.96846771240234, 'L0': tensor(12.8052)}
1, 3, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.04791779816150665, 'RMSE_adversarial': 0.06840948015451431, 'RMSE_pred': 75.97201538085938, 'L0': tensor(12.6623)}
1, 3, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.033814799040555954, 'RMSE_adversarial': 0.07010965794324875, 'RMSE_pred': 75.97795104980469, 'L0': tensor(12.3506)}
1, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.06837049871683121, 'RMSE_adversarial': 0.06563112884759903, 'RMSE_pred': 75.96544647216797, 'L0': tensor(13.7792)}
1, 5, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.08046338707208633, 'RMSE_adversarial': 0.06554051488637924, 'RMSE_pred': 75.96131134033203, 'L0': tensor(12.9870)}
1, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.050381436944007874, 'RMSE_adversarial': 0.06745966523885727, 'RMSE_pred': 75.96955108642578, 'L0': tensor(12.1039)}
1, 5, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.02646135352551937, 'RMSE_adversarial': 0.06925444304943085, 'RMSE_pred': 75.99189758300781, 'L0': tensor(12.1558)}
1, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.06467451900243759, 'RMSE_adversarial': 0.06566539406776428, 'RMSE_pred': 75.96507263183594, 'L0': tensor(13.8571)}
1, 8, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0864478275179863, 'RMSE_adversarial': 0.0657968670129776, 'RMSE_pred': 75.95028686523438, 'L0': tensor(13.0779)}
1, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.05228801816701889, 'RMSE_adversarial': 0.0674528181552887, 'RMSE_pred': 75.96795654296875, 'L0': tensor(12.4805)}
1, 8, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.04058346524834633, 'RMSE_adversarial': 0.06686827540397644, 'RMSE_pred': 75.9740219116211, 'L0': tensor(11.9870)}
0.5, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0915798470377922, 'RMSE_adversarial': 0.06593228131532669, 'RMSE_pred': 75.95811462402344, 'L0': tensor(11.9351)}
0.5, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.0887814462184906, 'RMSE_adversarial': 0.06528668105602264, 'RMSE_pred': 75.96073913574219, 'L0': tensor(11.2078)}
0.5, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.043189067393541336, 'RMSE_adversarial': 0.07278768718242645, 'RMSE_pred': 75.98002624511719, 'L0': tensor(11.6364)}
0.5, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.06357748806476593, 'RMSE_adversarial': 0.0789119303226471, 'RMSE_pred': 75.96887969970703, 'L0': tensor(11.8701)}
