1, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.17634029686450958, 'RMSE_adversarial': 0.04026550427079201, 'RMSE_pred': 75.85479736328125, 'L0': tensor(15.4026)}
1, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.20111334323883057, 'RMSE_adversarial': 0.04430852457880974, 'RMSE_pred': 75.79109954833984, 'L0': tensor(13.6494)}
1, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.30589452385902405, 'RMSE_adversarial': 0.056474026292562485, 'RMSE_pred': 75.72453308105469, 'L0': tensor(11.8831)}
1, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 23.477073669433594, 'RMSE_adversarial': 0.04708394035696983, 'RMSE_pred': 60.04288101196289, 'L0': tensor(4.6883)}
1, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.18117134273052216, 'RMSE_adversarial': 0.03843295946717262, 'RMSE_pred': 75.85076141357422, 'L0': tensor(16.3247)}
1, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.1949452906847, 'RMSE_adversarial': 0.040130820125341415, 'RMSE_pred': 75.84459686279297, 'L0': tensor(14.5065)}
1, 3, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.21540173888206482, 'RMSE_adversarial': 0.04217101261019707, 'RMSE_pred': 75.85113525390625, 'L0': tensor(13.1818)}
1, 3, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.1443405151367188, 'RMSE_adversarial': 0.05203680694103241, 'RMSE_pred': 73.99311065673828, 'L0': tensor(10.1818)}
1, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.1874610334634781, 'RMSE_adversarial': 0.03842485323548317, 'RMSE_pred': 75.84557342529297, 'L0': tensor(16.2338)}
1, 5, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.1847049593925476, 'RMSE_adversarial': 0.03886408731341362, 'RMSE_pred': 75.84510803222656, 'L0': tensor(14.9091)}
1, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.19602465629577637, 'RMSE_adversarial': 0.03926948085427284, 'RMSE_pred': 75.8426742553711, 'L0': tensor(13.8701)}
