1, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.588722825050354, 'RMSE_adversarial': 0.1446823626756668, 'RMSE_pred': 75.42849731445312, 'L0': tensor(23.2468)}
1, 1, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5888830423355103, 'RMSE_adversarial': 0.14467287063598633, 'RMSE_pred': 75.42839050292969, 'L0': tensor(23.2338)}
1, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5886465311050415, 'RMSE_adversarial': 0.14468790590763092, 'RMSE_pred': 75.42870330810547, 'L0': tensor(23.2338)}
1, 1, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5887273550033569, 'RMSE_adversarial': 0.14469197392463684, 'RMSE_pred': 75.4285888671875, 'L0': tensor(23.1688)}
1, 3, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5897499918937683, 'RMSE_adversarial': 0.14463220536708832, 'RMSE_pred': 75.42752838134766, 'L0': tensor(23.2468)}
1, 3, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5893848538398743, 'RMSE_adversarial': 0.14465102553367615, 'RMSE_pred': 75.42788696289062, 'L0': tensor(23.2338)}
1, 3, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5896079540252686, 'RMSE_adversarial': 0.14464028179645538, 'RMSE_pred': 75.42765045166016, 'L0': tensor(23.2208)}
1, 3, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5895837545394897, 'RMSE_adversarial': 0.14464224874973297, 'RMSE_pred': 75.42768096923828, 'L0': tensor(23.2208)}
1, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5905328989028931, 'RMSE_adversarial': 0.14458613097667694, 'RMSE_pred': 75.42688751220703, 'L0': tensor(23.2468)}
1, 5, 0.06, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5902671217918396, 'RMSE_adversarial': 0.14459501206874847, 'RMSE_pred': 75.42723083496094, 'L0': tensor(23.2468)}
1, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5908019542694092, 'RMSE_adversarial': 0.14457058906555176, 'RMSE_pred': 75.42664337158203, 'L0': tensor(23.2468)}
1, 5, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5903164744377136, 'RMSE_adversarial': 0.14460282027721405, 'RMSE_pred': 75.42696380615234, 'L0': tensor(23.2468)}
1, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5917527675628662, 'RMSE_adversarial': 0.14452585577964783, 'RMSE_pred': 75.42528533935547, 'L0': tensor(23.2468)}
